# Combiner ablation (LOPO)
model,mean_auc,mean_spearman
ESM2 only (zero-shot),0.6599364707751717,0.29502455860885324
Logistic (L2) on all features,0.6867942522859021,0.34473637970522925
Gradient boosting on all features,0.7190990466947716,0.40609044575226066

# Leave-one-feature-out (LOPO GBM)
feature,mean_auc,mean_spearman,d_auc,d_spearman
esm_raw,0.6832637166703522,0.3450809297020916,-0.03583628332964772,-0.06101907029790843
hydropathy,0.7103635857579446,0.38337387915404364,-0.008736414242055401,-0.022726120845956377
grantham,0.7113464068169599,0.393576381715474,-0.007753593183040031,-0.012523618284526028
burial,0.7134536949145012,0.3962051838601088,-0.005646305085498793,-0.009894816139891238
blosum62,0.7141406146063427,0.3967953688778863,-0.004959385393657256,-0.009304631122113716
aggregation,0.7150918760739617,0.4002473566023518,-0.004008123926038221,-0.005852643397648238
sec_struct,0.7171283720570961,0.4031383767350905,-0.001971627942903842,-0.0029616232649095076

# LOPO permutation importance
feature,auc_drop
esm_raw,0.10031459717948202
hydropathy,0.03405810736883294
blosum62,0.028407932130414783
aggregation,0.015579142695359375
grantham,0.014817544550248493
burial,0.011672874413534727
sec_struct,0.0052849628386497805

# plddt_region added back: dAUC=-0.0107 dSpearman=-0.0181 (confirms leakage, not signal)
