protein,enhanced_grouped,posID_randomfold,posID_grouped,posINDEX_grouped
AICDA_HUMAN,0.6058608058608058,0.6760531135531136,0.5904761904761905,0.6513736263736263
BLAT_ECOLX,0.7410696414042288,0.8615910805309617,0.5623941192864079,0.537336919061341
CCDB_ECOLI,0.7542868558803877,0.8999414652927239,0.6091854162399677,0.6693676013193254
GFP_AEQVI,0.6703731566835964,0.7297422420718672,0.5486904453915388,0.5984838169414906
NUD15_HUMAN,0.785718348001369,0.8889699933336104,0.5375197073909886,0.6330609905424305
POLG_CXB3N,0.6838469601133581,0.8040351080752074,0.5214484365945388,0.6723861784560017
PTEN_HUMAN,0.744962241582655,0.8053764060129843,0.5257341364021859,0.6880824037322143
SPG1_STRSG,0.6608499446898604,0.9382138121506487,0.542870852655253,0.5621488172421119
UBC9_HUMAN,0.7203685571310439,0.8445000797689988,0.556863726539694,0.5322300245639802
MEAN,0.707481834594145,0.8276025889766795,0.5550203367751961,0.616052264248058
